_id,sentiment,political,text
5dcaf67fc14b24d0701c036a,1,0,"RT @HariZiyad: If we agree white supremacy &amp; itâ€™s interlocking oppressions are behind the climate crisis, &amp; that its also why white girls hâ€¦"
5dcaf67fc14b24d0701c036b,1,0,"RT @timjacobwise: You can't have it both ways. You can't attack young folk for being self-absorbed &amp; only concerned about makeup tutorials,â€¦"
5dcaf67fc14b24d0701c036c,0,0,"RT @CurtisIngraham1: @that_darn @HGrandaughter As if mocking Parkland shooting survivor David Hogg was not enough, my sister is now takingâ€¦"
5dcaf67fc14b24d0701c036d,1,0,"RT @funder: If youâ€™re attacking Greta Thunberg, then yes, youâ€™re a monster."
5dcaf67fc14b24d0701c036e,0,0,RT @CNN: Swedish climate activist Greta Thunberg and 15 other young people have filed a complaint with the UN alleging that five of the worâ€¦
5dcaf67fc14b24d0701c036f,1,0,"RT @Trungles: Based on the way adults continue to treat the teen Parkland survivors and kids like Greta Thunberg, it makes sense that Sandyâ€¦"
5dcaf67fc14b24d0701c0370,1,0,"RT @ABC: Swedish climate activist Greta Thunberg at #UNGA: ""This is all wrong...You all come to us young people for hope. How dare you! Youâ€¦"
5dcaf67fc14b24d0701c0371,1,0,"RT @Goss30Goss: Science is fact.

Bullying a child for caring about the environment is pathetic. 

Greta Thunberg has more compassion &amp; lovâ€¦"
5dcaf67fc14b24d0701c0372,1,0,"RT @CurtisIngraham1: @that_darn @HGrandaughter As if mocking Parkland shooting survivor David Hogg was not enough, my sister is now takingâ€¦"
5dcaf680c14b24d0701c0373,0,0,RT @ValerieComplex: I hope the same energy given to Greta Thunberg is the same energy you give to Little Miss Flint because Flint still witâ€¦
5dcaf680c14b24d0701c0374,1,0,RT @PrisonPlanet: Greta Thunberg (the people using her as a child human shield for their hysterical propaganda) has filed a complaint withâ€¦
5dcaf680c14b24d0701c0375,1,1,"This is Great ðŸ‘ but will make a difference- If she could remove Trump that would make a big difference ðŸ‘
â€œThis is aâ€¦ https://t.co/nqhpF8OVuP"
5dcaf680c14b24d0701c0376,1,1,Greta Thunberg to world leaders: 'How dare you â€“ you have stolen my dreams and my childhood' - video https://t.co/HIiZuQPEFm
5dcaf680c14b24d0701c0377,1,0,RT @ed_solomon: The people who got mad at or threatened by Greta Thunbergâ€™s anger &amp; emotionalism and called it childish &amp; immature are theâ€¦
5dcaf680c14b24d0701c0378,0,1,"RT @maroontito: *Greta Thunberg, a climate change activist calling out the current US government for lack of action* 

Pinoys: Wow! Such anâ€¦"
5dcaf680c14b24d0701c0379,1,1,"RT @JordanUhl: Holy shit

Michael Knowles of Daily Wire just called Greta Thunberg a ""mentally ill Swedish child.""

@ChristopherHahn tore iâ€¦"
5dcaf680c14b24d0701c037a,1,1,"RT @_SJPeace_: Greta Thunberg

""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the ocean. Yet you coâ€¦"
5dcaf680c14b24d0701c037b,1,0,"RT @os4185: FOX News Guest Michael Knowles Calls Climate Activist Greta Thunberg a ""Mentally Ill"" Child -- Liberal Hack EXPLODES! (VIDEO) hâ€¦"
5dcaf680c14b24d0701c037c,0,1,"RT @mmpadellan: Over the past few years, Melania trump has masqueraded as an anti-bullying, ""Be Best"" advocate.

In the past few days, Consâ€¦"
5dcaf680c14b24d0701c037d,1,0,"RT @kylegriffin1: Greta Thunberg at #UNGA: ""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the oceanâ€¦"
5dcaf680c14b24d0701c037e,0,1,Greta Thunberg Delivered A Powerful Speech And Then Shot Trump A Death Stare At The UN Climate Summitâ€¦ https://t.co/P4aCjewSul
5dcaf680c14b24d0701c037f,0,0,"RT @SethMacFarlane: Fox â€” The company I work with. Really classy, guys. Proud to be a part of the team. Jesus H. Christ.
https://t.co/MlSGpâ€¦"
5dcaf680c14b24d0701c0380,0,0,TTT 3 To The Atlantic #Auspol #GretaThunberg #JacindaArdern #Nzpol #ScottMorrison - https://t.co/4Hmb01elBQ https://t.co/grZnn1Tt4D
5dcaf680c14b24d0701c0381,0,0,TTT 3 To The Atlantic #Auspol #GretaThunberg #JacindaArdern #Nzpol #ScottMorrison - https://t.co/h6HPW15BMi https://t.co/IPBOp1SUBM
5dcaf680c14b24d0701c0382,1,1,RT @ValerieComplex: I hope the same energy given to Greta Thunberg is the same energy you give to Little Miss Flint because Flint still witâ€¦
5dcaf680c14b24d0701c0383,0,1,"RT @cnni: ""You have stolen my dreams and my childhood with your empty words,"" climate activist Greta Thunberg tells the UN. ""We are in theâ€¦"
5dcaf680c14b24d0701c0384,0,0,RT @ed_solomon: The people who got mad at or threatened by Greta Thunbergâ€™s anger &amp; emotionalism and called it childish &amp; immature are theâ€¦
5dcaf680c14b24d0701c0385,1,1,"RT @AynRandPaulRyan: Trump humper Michael Knowles just called Greta Thunberg a ""mentally ill Swedish child"" and @ChristopherHahn tore him aâ€¦"
5dcaf681c14b24d0701c0386,0,1,RT @KaivanShroff: Watching countless Republican men over 40 bully Greta Thunberg â€” a 16-year-old girl with Aspergers who is literally brougâ€¦
5dcaf681c14b24d0701c0387,1,0,"RT @_SJPeace_: Greta Thunberg

""This is all wrong. I shouldnâ€™t be up here. I should be in school on the other side of the ocean. Yet you coâ€¦"
5dcaf681c14b24d0701c0388,1,1,"RT @goldengateblond: Congratulations to Greta Thunberg, who just became the only white European that Trump has ever wanted to deport."
5dcaf681c14b24d0701c0389,0,1,RT @GretaThunberg: Today at 11:30 I and 15 other children from around the world filed a legal complaint against 5 nations over the climateâ€¦
5dcaf681c14b24d0701c038a,1,0,RT @FredrikSewell: Anyone whoâ€™s got a problem with Greta Thunberg can pretty much fuck off.
5dcaf681c14b24d0701c038b,1,1,RT @CarmineSabia: President Donald Trump walks past Greta Thunberg because he does not bow to 16 year olds. https://t.co/4m9VGMz8CD
5dcaf681c14b24d0701c038c,0,1,"RT @revrrlewis: right-wing media: ""greta thunberg is obviously a pawn of adults exploiting her youth for politics, how else do kids come toâ€¦"
